App,Url,Logo,Rating,Recommendation,Reviews,Review Link,Price,Small Business Size,Medium Business Size,Large Business Size,Description
CRESSblue,https://www.softwareadvice.com/au/property/cress-profile/,https://www.softwareadvice.com/au/property/cress-profile/,5,None,2,https://www.softwareadvice.com/au/property/cress-profile/#reviews,3,Yes,Yes,Yes,"CRESSblue is a cloud-based solution designed specifically for small to large commercial property management businesses. It consolidates lease administration, cost accounting and asset management. Users of CRESSblue leverage it to organize their data, automate reconciliation calculations and instantly provide detailed reports to auditors, tenants, contractors and investors. Key features include automation of complex calculations for unique leases, document management and distribution, customizable reporting and notifications.CRESSblue enables property managers to make cost estimations and calculate common area maintenance (CAM) expenses, insurances and taxes associated with multiple properties. This recovery functionality offers the ability to capture all income and reduce slippage. The solution even helps manage landlord-tenant loans, inducements and custom lease periods.CRESSblue includes a feature that lets supervisors assign expenses to accounts, conduct audits and manage commercial net leases for a site, building, premise, single or multiple tenants. Administrators can use the system to provide role and time-based access to owners and tenants, conduct lease negotiations and maintain contracts. The software offers different support options to customers, including one-on-one and group training, phone support, email support and data conversion."
INFO-Tracker™,https://www.softwareadvice.com/au/property/info-tracker-profile/,https://www.softwareadvice.com/au/property/info-tracker-profile/,4.5,None,1,https://www.softwareadvice.com/au/property/info-tracker-profile/#reviews,2,No,No,Yes,"INFO-Tracker by Netintegrity Inc. is a cloud-based property, accounting and maintenance management system that designed for midsize and large Condo HOA, residential, 3rd party rental, commercial real estate and affordable housing properties.INFO-Tracker’s features include integrated accounting and financial controls, workflow security, single click automated e-banking, complete correspondence and contact history (CRM), personalized letter generation, an integrated website with dynamic online vacancy postings, maintenance and asset management and report writer.The product features commercial property management, which allows users to manage lease calculations, occupancy cost recovery, arrears letters, critical task management and parking management. The residential property management solution offers owner and tenant management, maintenance management, purchasing, inventory control and reporting.INFO-Tracker also offers condominium management, which enables users to manage reserve funds, violations, billing, board reporting and audit trails.Role-based community portals enable different parties (property manager, site manager, concierge, board member, owner, resident and tenant) to self-serve and remain updated on building activities."
PMX Property Management,https://www.softwareadvice.com/au/property/pmx-profile/,https://www.softwareadvice.com/au/property/pmx-profile/,None,None,0,https://www.softwareadvice.com/au/property/pmx-profile/#reviews,1,No,No,Yes,"PMX Property Management is a hybrid property management solution for Microsoft Dynamics NAV. It is suitable for managing apartments and vacation rentals as well as commercial, industrial and international properties. The solution can either be deployed on-premise or hosted in the cloud.PMX Property Management features tenant and lease management, strata/HOA management, automated rent collection, visual deviation analysis and more. It also provides users with various accounting features such as property accounting, tenant and lease tracking, budgeting and reporting, building maintenance and customer management, which can be purchased as part of a suite or as a standalone system. This allows users to configure the system based on their business requirements.Additionally, PMX Property Management supports integration with MS Office, MS Outlook and features a customer relationship management (CRM) application. Services are offered on a monthly subscription basis after a one-time setup fee. Support is offered via phone and email."
Wild Apricot,https://www.softwareadvice.com/au/property/wild-apricot-profile/,https://www.softwareadvice.com/au/property/wild-apricot-profile/,4.51,None,498,https://www.softwareadvice.com/au/property/wild-apricot-profile/reviews/,1,Yes,Yes,Yes,"Wild Apricot is a cloud-based membership management system used by business and trade associations, chambers of commerce, nonprofits, charities, clubs and community organizations. It supports organizations from a few members to 15,000 members in size.With Wild Apricot’s website builder, administrators can create both a public website and private pages for members and committees. Widgets—such as event calendars, public and private membership directories and donation forms—can be copied and pasted into the builder.Prospective members can submit applications through the website, while current members receive automated dues renewal reminders. Additionally, Wild Apricot’s event management tools let managers create events; list them on the website along with a description, images and a custom online registration form; track which members sign up; and process payments. It can also send reminders and messages to members.Managers can view all member records to see membership status, event registrations, donations and more."
Maintenance Connection,https://www.softwareadvice.com/au/property/maintenance-connection-property-management-profile/,https://www.softwareadvice.com/au/property/maintenance-connection-property-management-profile/,4.48,None,284,https://www.softwareadvice.com/au/property/maintenance-connection-property-management-profile/reviews/,3,No,Yes,Yes,"Maintenance Connection is a cloud-based software system for maintenance management. It is suitable for businesses of all sizes in general facilities management, healthcare, manufacturing, government, utilities, warehouses, energy development, travel agencies and other specialized industries. On-premise hosting is also available.Users can manage lifecycles of assets, track and manage maintenance costs, keep updated on possible equipment failures and allocate resources. Integration capabilities include enterprise resource planning (ERP) software and computer aided facility management (CAFM) software.The homepage for each user can be configured according to their role. Work assignments, requests and other current objectives that need immediate attention are highlighted in red. A customizable calendar depicts employee work schedules and how they relate to one another. The My Matrix feature displays work order information using an editable matrix. Maintenance Connection runs on the Microsoft SQL Server Relational Database Engine."
Quicken,https://www.softwareadvice.com/au/property/quicken-profile/,https://www.softwareadvice.com/au/property/quicken-profile/,3.81,None,257,https://www.softwareadvice.com/au/property/quicken-profile/reviews/,1,Yes,Yes,Yes,"Quicken is a cloud-based solution that helps businesses manage payment collection and track property value. It allows users to save tenant contact information, rental rates/agreements, security deposits and lease terms.Key features of Quicken include credit checks, tenant portal, personal finance, online payments and tax management. Designed for businesses of all sizes, its dashboard enables users to track tenant lists, income/expenses, bank accounts, documents and loans. The product comes with rent payment tools, which allow enterprises to track outstanding payments and send rent receipts to tenants. Additionally, its planning module lets users view tax returns and bank account expenses.Other features of Quicken include custom invoicing, tax deduction tracking and email reminders. It is available on a monthly subscription and support is extended via documentation, phone, email and online help desk."
ResNexus,https://www.softwareadvice.com/au/property/resnexus-profile/,https://www.softwareadvice.com/au/property/resnexus-profile/,4.71,None,212,https://www.softwareadvice.com/au/property/resnexus-profile/reviews/,3,Yes,No,No,"ResNexus is a cloud-based property management software that helps increase reservations and revenue. As an all-in-one solution, ResNexus provides a beautifully designed ADA compliant website and booking engine to increase direct bookings. It also includes guest management, credit card processing, direct connections to marketing channels (such as Booking.com, Expedia, and Airbnb), dynamic pricing, automatic yield management, Quickbooks export, business reports, and much more. In addition, ResNexus increases your return guest rate with automatic email marketing that includes welcome, thank you, birthday and anniversary emails, as well as newsletters and promotions.The ResNexus reservation grid highlights reservation activity for the next one to three months at a glance. Users can drag-and-drop existing reservations to a new room or date. It sends a confirmation mail to both users and guests whenever a new reservation is made through its online booking system.ResNexus serves thousands of clients of various sizes in multiple industries, such as bed and breakfasts, hotels, lodges, campgrounds, and vacation rentals. The solution is PCI compliant with the third-party accredited audit. Support is offered via knowledge base, community forum and phone. Pricing options include per month, quarterly, or annual subscriptions."
Yardi Voyager,https://www.softwareadvice.com/au/property/yardi-voyager-profile/,https://www.softwareadvice.com/au/property/yardi-voyager-profile/,4.16,None,172,https://www.softwareadvice.com/au/property/yardi-voyager-profile/reviews/,3,No,Yes,Yes,"Yardi Voyager is a cloud-based property management and accounting platform for both residential and commercial entities. This software product is designed for small portfolio real estate owners as well as larger portfolio enterprises and can be accessed on any mobile device. Yardi offers property management solutions for residential properties, affordable housing, military housing, student housing, plus more.Yardi Voyager features automated lease administration, recoveries, lease management, payment processing, lease renewal workflows, tenant maintenance requests, plus more. This system provides integrated accounting and property management functions, role-based dashboards, and critical date notifications with real-time analytics and business intelligence.The Yardi system also includes analytics related to commercial property and portfolio reporting. It provides real-time key indicators for lease management, recovery reconciliation, and performance statistics.Additionally, Yardi Voyager provides financial reporting tools. Voyager’s accounting system can directly import general ledger transactions. Management teams can create monthly, quarterly, and annual custom reports as well as perform real-time comparison and analysis supporting IFRS, GAAP, and other international accounting standards."
Lodgix,https://www.softwareadvice.com/au/property/lodgix-profile/,https://www.softwareadvice.com/au/property/lodgix-profile/,4.86,None,166,https://www.softwareadvice.com/au/property/lodgix-profile/reviews/,2,Yes,No,No,"Lodgix is a cloud-based vacation rental solution that provides tools for online booking, guest management and accounting for owners, vacation rental managers and boutique hotels.The Lodgix inquiry system helps customers find answers to various types of queries including pricing, quotes and availability using template-based responses. It supports integration with external websites for listing ads including Booking.com, AirBnB, Expedia, Flipkey and Tripadvisor.Additionally, Lodgix supports importing and exporting information from iCal for all properties and third-party sites. Users have access to a free Lodgix WordPress plugin for their websites. It also supports Authorize.net for credit card processing.Lodgix comes with subscription-based pricing based on the number of properties. Optional modules that are available include employee management, e-signatures, property management and QuickBooks syncing."
Avail,https://www.softwareadvice.com/au/property/avail-profile/,https://www.softwareadvice.com/au/property/avail-profile/,4.52,None,139,https://www.softwareadvice.com/au/property/avail-profile/reviews/,2,Yes,No,No,"Avail is a cloud-based property management that allows independent landlords to find tenants, view their credit history and collect rent. Key features include affiliate syndication, social sharing tools, lead management, automated reference checks, applicant communication and digital signatures.The solution allows landlords to create a rental listing and publish it across the web. They can also request rental applications with information such as residence history, employment verification and contact information. The solution provides credit checks, criminal verification and eviction reports for applicants as well. State-specific lease templates can be customized by adding or editing clauses, rules and attachments.The solution allows landlords to make payment requests, send automatic email reminders and track payments. Payments are deposited directly to the linked bank account. Tenants can submit maintenance requests, upload photos of the issue and track resolution progress.The solution is available on a monthly subscription basis and support is provided via an online ticketing system."
365villas,https://www.softwareadvice.com/au/property/365villas-profile/,https://www.softwareadvice.com/au/property/365villas-profile/,4.69,None,127,https://www.softwareadvice.com/au/property/365villas-profile/reviews/,2,Yes,No,No,"365villas is a cloud-based vacation property management solution for short-stay rental properties. The solution helps users to manage reservations, handle inquiries, coordinate guest communication and track payments.365villas provides a booking engine that integrates with a users' existing business website and third-party booking platforms. It allows property managers to list current room availabilities and booking prices through multiple channels. The reservation manager syncs booking details on user websites and third-party booking platforms, which allows customers to see room availability and pricing in real time.Rule-based dynamic pricing automatically changes booking prices according to demand. The solution also helps users build websites for their property rental business. Additional features include automated emails and messages, staff management tools, a payment manager and business reporting.Users are billed monthly based on number of properties. Support is offered via phone and email."
TenantCloud,https://www.softwareadvice.com/au/property/tenantcloud-profile/,https://www.softwareadvice.com/au/property/tenantcloud-profile/,3.92,None,101,https://www.softwareadvice.com/au/property/tenantcloud-profile/reviews/,1,Yes,Yes,No,"TenantCloud is a cloud-based property management system designed to meet the needs of landlords, property managers and real estate professionals. The system offers property management, tenant management, accounting management and marketing functionality.TenantCloud provides a dashboard that allows users to add new transactions, tenants, properties, work requests, messages or applications. This screen also shows total occupancy, lease expirations, recent property listing, payments and outstanding rent payments. Users can also view properties in a list form, with images and financial information for income, expenses, net cash flow and outstanding balances.TenantCloud enables users to view rental applications, which shows contact information and status of each rent amount. Property managers can also directly message tenants to address questions. Support is provided through an online portal to all its users. The solution is priced on a per month subscription basis for a specific number of users."
Escapia,https://www.softwareadvice.com/au/property/escapia-profile/,https://www.softwareadvice.com/au/property/escapia-profile/,4.38,None,96,https://www.softwareadvice.com/au/property/escapia-profile/reviews/,2,Yes,Yes,Yes,"Escapia is a cloud-based vacation rental system that helps vacation rental managers automate property management tasks and online distribution. Key features include accounting tools, lead management, reservations, maintenance, housekeeping, marketing and an owner portal.The real-time booking engine allows users to create booking rules like variable rates, as well as apply discounts and coupon codes. Automated inquiry responses can automatically answer renter queries. The reservation system allows users to manage front desk operations, accounting, housekeeping and maintenance services. Escapia has also partnered with distribution channel partners including FlipKey.com, VRBO.com and HomeAway.comThe Escapia web portal offers features such as search options, integrated Google Maps, social media links, images and brochure options. Guests can access their reservations and booking details from a dedicated mobile app. Owners are provided with a portal to check the performance of their properties, download income statements and track correspondence."
VTS,https://www.softwareadvice.com/au/property/vts-profile/,https://www.softwareadvice.com/au/property/vts-profile/,4.64,None,86,https://www.softwareadvice.com/au/property/vts-profile/reviews/,2,No,Yes,Yes,"VTS is a CRE leasing and asset management platform. VTS specializes in centralizing critical data and workflows in one place, VTS empowers landlords, property managers, and brokers to better attract, convert and retain their most valuable assets and tenants. Over 10 billion square feet of commercial property is managed on VTS 3 with a user base exceeding 34,000."
LiveRez,https://www.softwareadvice.com/au/property/liverez-profile/,https://www.softwareadvice.com/au/property/liverez-profile/,4.68,None,74,https://www.softwareadvice.com/au/property/liverez-profile/reviews/,3,Yes,Yes,No,"LiveRez is a cloud-based vacation rental software suite, featuring a property management and central reservation system, customer relationship management (CRM) system, survey and review system, work order system, owner logins, guest app and full trust accounting system.LiveRez also offers professional managers their own direct booking websites with an online booking engine and built-in content management system (CMS) that integrate with the solution.LiveRez offers integrations with a variety of credit card processing and travel insurance providers, smart home automation providers and a number of listing sites through both its NextPax integration and its direct integration with Airbnb. It also offers the ability for LiveRez’s customers to optionally work together to list each other’s properties and refer bookings to each other.Support is offered via phone and email, as well as through a collection of online help and training resources, such as videos and articles. Pricing is monthly on a subscription basis."
Landlord Studio,https://www.softwareadvice.com/au/property/landlord-studio-profile/,https://www.softwareadvice.com/au/property/landlord-studio-profile/,4.86,None,64,https://www.softwareadvice.com/au/property/landlord-studio-profile/reviews/,2,Yes,Yes,No,"Landlord Studio is property management software done right. A cloud-based mobile-first property management tool that aims to help DIY and small to mid-sized businesses manage their accounting and communication to the tenant. Landlord Studio aims to put your property management on auto-pilot through automation.Available on desktop as well as full native mobile apps on both Apple and Google Play Store. Key features include being able to quickly log your rent payments, attaching photos of receipts to expenses, tracking mileage, setting reminders for important dates such as property inspection, automated emailing to tenants using customizable templates and offering powerful analytical reporting.Landlord Studio aims to be a simple way to manage your properties. Services are charged on a per unit management basis with fast email and live chat support. Landlord Studio does not charge any one-time setup fee."
Streamline,https://www.softwareadvice.com/au/property/streamline-profile/,https://www.softwareadvice.com/au/property/streamline-profile/,4.59,None,64,https://www.softwareadvice.com/au/property/streamline-profile/reviews/,2,Yes,Yes,Yes,"Streamline Vacation Rental Software is a cloud-based property management solution.It includes tools and resources for managing online booking as well as integrated modules for streamlining owners, housekeeping and the front desk activities.Streamline provides unit owners with a portal to manage their units, maintain reservation calendars, submit maintenance requests and view statements. Likewise, housekeepers have access to their own housekeeping module through which they can update their progress.Streamline’s front desk module allows agents to create reservations and access property setup, staff management and other tools. Users have an administrative module which provides access to generate audit reports, as well as access guest and staff database. A coupon/discount management system is offered to reward loyal guests and entice new guests.The solution is licensed in perpetuity or on a per property per month basis. It is compatible with both Android and iOS devices and offers support via live chat."
Unit Trac,https://www.softwareadvice.com/au/property/unit-trac-profile/,https://www.softwareadvice.com/au/property/unit-trac-profile/,4.78,None,55,https://www.softwareadvice.com/au/property/unit-trac-profile/reviews/,1,Yes,No,No,"Unit Trac is a cloud-based self-storage software solution that helps users manage their facilities. Key features include lease management, credit card processing, facility maps, business accounting and multi-device support.Unit Trac's lease management system helps users to create leases, record payments, customize deposits and rent charges and generate invoices. It keeps track of the rental dues and automatically emails tenants when rent is due. Unit Trac provides security and PCI compliance for payments processed via credit cards.Additionally, Unit Trac offers features like deposit and late fee tracking, batch payment entry, a website creation tool, account auditing, data backups and lease applications with digital signatures. Mobile apps are offered for iOS, Android and Windows devices.Services are offered on a monthly subscription basis that includes support via email, phone and video tutorials."
TrueRent,https://www.softwareadvice.com/au/property/truerent-profile/,https://www.softwareadvice.com/au/property/truerent-profile/,4.34,None,53,https://www.softwareadvice.com/au/property/truerent-profile/reviews/,1,Yes,No,No,"TrueRent is a cloud-based property management solution designed for use by owners, third-party property managers, tenants and applicants. It helps users manage tenants and accounts as well as track and analyze the financial performance of properties. Key features include tenant screening, online rent collection, alerts and reminders, reporting, investment analytics and tenant and owner portals.TrueRent’s reporting feature provides a real-time dashboard that contains details of transactions such as rent and expenses, debt reduction, cash flow and more. Users get automated alerts and reminders when there is rent due or when there is a lease about to expire.With investment analytics, users can stay up to date with their property value in real time. It allows users to track net operating income, incoming payments, cash flow, expenses and others.TrueRent’s QuickPay feature allows tenants to pay rent and other fees directly to the users' accounts. It provides a portal for both tenants and owners."
MYBOS,https://www.softwareadvice.com/au/property/myboss-profile/,https://www.softwareadvice.com/au/property/myboss-profile/,4.22,None,51,https://www.softwareadvice.com/au/property/myboss-profile/reviews/,1,Yes,Yes,Yes,"MYBOS is a cloud-based facility management solution designed to help small and midsize property owners manage client communications, create work orders, manage workflows, schedule maintenance and more.MYBOS offers a calendar feature that allows property managers to schedule preventive maintenance and meetings. The real-time dashboard offers information about property related updates and upcoming tasks via graphical representations. A dedicated tenant portal allows tenants to manage their information, raise issues with management, book amenities and contact staff.The work order management tool helps businesses build an asset catalog along with details of their warranties and service histories. MYBOS also offers separate iOS-based apps for both property managers and residents. In addition, the solution provides register management, parcel management and community management features.Users can access the online knowledge base or raise tickets for support inquiries. Monthly and annual pricing plans are available."
LandlordTracks,https://www.softwareadvice.com/au/property/landlordtracks-profile/,https://www.softwareadvice.com/au/property/landlordtracks-profile/,4.16,None,50,https://www.softwareadvice.com/au/property/landlordtracks-profile/reviews/,1,Yes,Yes,Yes,"LandlordTracks is a cloud-based property management suite suitable for residential, commercial and corporate housing. Key features include automatic rent collection and owner disbursements, automatic vacancy listings, background checks, accounting, online payment management and communication tools.Accounting functions include financial reports, utility billing, 1099 tax filing, automated recurring transactions, recurring invoices, and printable checks. It allows users to track all kind of financial details of their business. Potential tenants can submit applications online through an applicant portal. Users can post vacancies to various listing partners such as Rent.com, Trulia, Zillow, Hotpads and Yahoo.The calendar feature lists details such as lease expirations, rent increases, invoice due dates, work order due dates and more. Users can store documents like lease agreements, amendments and other materials, and they can make them publicly available.LandlordTracks features can also be accessed via mobile apps for iOS and Android."
Easy InnKeeping,https://www.softwareadvice.com/au/property/easy-innkeeping-profile/,https://www.softwareadvice.com/au/property/easy-innkeeping-profile/,4.31,None,49,https://www.softwareadvice.com/au/property/easy-innkeeping-profile/reviews/,2,Yes,No,No,"For hotels, condos, resorts and other short-term properties, Easy InnKeeping provides a cloud-based software suite that manages property operations, from reservations to marketing to financials in one single solution. Easy InnKeeping is ideal for property managers with less than 100 units and includes industry-specific features like GDS Connectivity and seasonal rate support.Easy InnKeeping is an online booking engine that provides an attractive management solution that can be accessed from anywhere. With Flash and a photo display, property managers can advertise amenities, room features and the surrounding environment. Building maintenance and housekeeping can be tracked and the Easy InnKeeping suite comes with a built-in sales and marketing tool for sending out bulk emails with promotions, seasonal specials and thank you's. There's also an optional credit card processing interface and GDS/ADS marketing.Users can track guest history, run financials, report maintenance and upkeep and plan reservations in advance. All of this information can be exported to Excel for analysis. The messaging center allows staff members to leave notes and reminders."
6Storage,https://www.softwareadvice.com/au/property/6storage-profile/,https://www.softwareadvice.com/au/property/6storage-profile/,4.78,None,45,https://www.softwareadvice.com/au/property/6storage-profile/reviews/,1,Yes,Yes,Yes,"6Storage is a cloud-based self-storage management solution that caters to small and midsize self-storage facilities. Features include custom website designs, a tenant login portal, product lifecycle management, email marketing campaigns and more.6Storage enables users to accept online rental payments for their storage facilities through integrated payment processing services such as Select Merchant Solutions, Vantiv, eMerchant Pay and Stripe. The solution also supports integration with multiple gate access systems such as PTI, SC Solutions and Quickor, which help users to keep track of their units and allow or deny access.Additionally, 6Storage features built-in website templates, SEO capabilities and a marketing module which help users to advertise their services on Google, Facebook, Twitter and Instagram. Mobile applications for iOS and Android devices allow users to remotely access the solution.Services are offered on a monthly subscription basis that includes support via phone, email and Skype."
Rentler,https://www.softwareadvice.com/au/property/rentler-profile/,https://www.softwareadvice.com/au/property/rentler-profile/,4.84,None,43,https://www.softwareadvice.com/au/property/rentler-profile/reviews/,1,Yes,No,No,"Rentler is a property management solution designed to help landlords streamline the entire rental lifecycle, from property listing, tenant screenings and payments to maintenance and accounting operations. Managers can set up payment requirements for deposits, pet fee or other special fees and receive rent via bank deposits or credit/debit cards.Rentler allows landlords to accept rent applications, screen tenants and create online listings for their properties by adding descriptions, images, amenities and other details. Property managers can handle maintenance requests or messages on a centralized dashboard and access legal forms from an online library. Additionally, tenants can utilize the search functionality to find rental properties based on type, price or size and set up recurring monthly installments to pay rent.Rentler enables tenants to monitor the statuses of maintenance requests through automated notifications. The product is available for free and support is extended via live chat, email, FAQs, documentation, phone and other online measures."
Entrata,https://www.softwareadvice.com/au/property/entrata-profile/,https://www.softwareadvice.com/au/property/entrata-profile/,4.19,None,43,https://www.softwareadvice.com/au/property/entrata-profile/reviews/,3,Yes,Yes,Yes,"Entrata is a cloud-based property management solution that features property accounting, facilities management and resident management. The solution includes invoice creation, vendor management, bank reconciliation, lead management, intercompany transactions and work order management. It also provides open APIs for integrations with third-party solutions.Entrata helps accountants make adjustments or payments in real time, and they can create income statement and balance sheets using current data. Property managers can also create new budgets, assign specific items to portfolios or duplicate budgets that can be emailed or downloaded. The solution also lets leasing agents track rentable units, send bills to residents, assess late fees and collect rent.Users can store documents, locate relevant documents and export documents in the system. Entrata also enables users to create work orders and track progress through a mobile device.Support is available via email and phone."
MyVR,https://www.softwareadvice.com/au/property/myvr-profile/,https://www.softwareadvice.com/au/property/myvr-profile/,4.85,None,40,https://www.softwareadvice.com/au/property/myvr-profile/reviews/,2,Yes,Yes,Yes,"MyVR is a cloud-based vacation rental and property management suite designed to meet the needs of landlords, property managers and real-estate professionals. The solution offers reservations management, payment processing, email automation and calendar syncing.MyVR helps reservation managers sync their website’s booking information with third-party booking platforms. This enables guests to check room availability and pricing in real time. It also assists property managers in sending automated responses to customers in the form of emails and reminders.The solution integrates with listing channels such as Airbnb, HomeAway, Flipkey and Booking.com.Other features include reporting and analysis, channel management and contact management. The solution is priced on a per month per property subscription basis. Support is offered via phone, email and a knowledge base."
Tenant File Property Management Software,https://www.softwareadvice.com/au/property/tenant-file-profile/,https://www.softwareadvice.com/au/property/tenant-file-profile/,4.35,None,40,https://www.softwareadvice.com/au/property/tenant-file-profile/reviews/,1,Yes,Yes,No,"Tenant File Property Management Software (TFPMS) is an on-premise property management solution for apartment, condo, commercial, residential, retail and self-storage property managers. The solution includes accounting, tenant and lease tracking and building maintenance functionalities.TFPMS's accounting features offer a general ledger, accounts payable and transactional history. Reports are available for various properties, owners, units and tenants data that includes ledger and outstanding balances.Users can maintain unit information such as number and type of rooms, deposit rates and materials. Managers can also upload photos of each unit. Tenants can pay rent online which is entered into the solution. Users can then automatically post late fee income and see a running total of rent payments.Additionally, TFPMS offers features such as reminder system, automatic posting, database maintenance and multiple bank accounts. Support is available via phone, email, training videos and other online resources."
Palace,https://www.softwareadvice.com/au/property/palace-profile/,https://www.softwareadvice.com/au/property/palace-profile/,3.94,None,33,https://www.softwareadvice.com/au/property/palace-profile/reviews/,1,Yes,Yes,Yes,"Palace is a cloud-based property management solution that caters to residential property managers and management organizations. Key features include accounting, tenant and lease tracking, maintenance management and more.Palace helps property managers to keep track of different types of properties, overdue tasks and tenancies via a central dashboard. Users can view reminders, charges, invoices and incoming mail.The dashboard also gives them access to lists of owners with associated contact information and balances. The solution can generate reports based on agents or groups, presented in a graphical format with month-by-month comparisons.Additionally, Palace features role-based access permissions, key tracking and mobile applications for iOS and Android devices that help users to remotely manage operations and routines. Services are offered on a monthly subscription basis that includes support via phone, email, product videos and through an online helpdesk."
Property Matrix,https://www.softwareadvice.com/au/property/propertymatrix-profile/,https://www.softwareadvice.com/au/property/propertymatrix-profile/,4.61,None,31,https://www.softwareadvice.com/au/property/propertymatrix-profile/reviews/,1,Yes,No,No,"Property Matrix is a cloud-based property management solution for apartment complexes and multi-family unit properties. It offers applications for tenant and lease tracking, property accounting, building maintenance, CRM and online classifieds. The solution also provides features for document management, recurring transactions, email templates, search and check scanning.Property Matrix provides an accounting package that includes a general ledger, accounts payable, accounts receivable and transactional history. Users can also track lease agreements, create nested sub-accounts and receive/deposit payments from multiple tenants as well as vendors. Property managers can filter for vacancies or specific units, create invoices and check on maintenance requests.Property Matrix has an Owners Portal that allows property owners to view maintenance history, bills, lease expirations and pay rent. It also includes a maintenance module. Once a new incident is reported, it’s routed to the maintenance panel so someone can be assigned to handle the request. Services are offered on per unit per-user basis."
Landport,https://www.softwareadvice.com/au/property/landport-profile/,https://www.softwareadvice.com/au/property/landport-profile/,4.55,None,31,https://www.softwareadvice.com/au/property/landport-profile/reviews/,3,Yes,Yes,Yes,"Landport is an online facility and work order management system that offers tools to manage both on-demand service requests and preventive maintenance. With Landport, facility, property and maintenance managers, as well as service vendors and maintenance staff have access to information that helps them to track and manage the maintenance of their buildings, facilities, equipment and services.Landport offers multi-channel communication methods, allowing customers to submit maintenance requests via email, phone, voicemail or through a dedicated online portal. Managers can then view submitted requests, solicit bids and dispatch works orders to their onsite staff or service providers. Users are automatically kept informed of the status of their requests.Managers also use Landport to schedule and track preventive maintenance work orders. Using the built-in calendar and checklists, they’re able to ensure that maintenance is completed on schedule. Landport provides custom reporting tools and metrics on various work order activities, including maintenance history, delays and customer satisfaction."
LeaseQuery,https://www.softwareadvice.com/au/property/leasequery-pm-profile/,https://www.softwareadvice.com/au/property/leasequery-pm-profile/,4.78,None,30,https://www.softwareadvice.com/au/property/leasequery-pm-profile/reviews/,1,Yes,No,No,"LeaseQuery is a cloud-based lease accounting software solution for lessees/tenants. The system enables companies to fully comply with FASB ASC 840, FASB ASC 842, IAS 17, and IFRS 16. The system generates accurate amortization schedules and journal entries and enables companies to meet disclosure requirements set by financial regulatory boards. LeaseQuery was built by accountants for accountants and its software is complemented by the expertise of the company's in-house accountants. The system also supports the internal controls companies need to ensure the accuracy of their financial statements.LeaseQuery offers numerous features that simplify lease management. It acts as a searchable, centralized repository for lease documents and provides automated alerts when critical dates are approaching. To prevent errors from being introduced into the system, users can set permissions based on role. Services are offered on a subscription model for number of leases. Support is provided via email and phone."
Pendo,https://www.softwareadvice.com/au/property/pendo-profile/,https://www.softwareadvice.com/au/property/pendo-profile/,4.62,None,29,https://www.softwareadvice.com/au/property/pendo-profile/reviews/,1,Yes,Yes,No,"Pendo is a cloud-based rental property management solution designed for small and midsize landlords and property managers.The solution enables users to oversee property portfolios, self-screen potential tenants, create digital leases, advertise vacant properties with single property websites, create move-in/out condition inspection reports, track expenses, build financial reports and more.With Pendo's suite of digital tools, users can send rental applications and lease agreements to tenants and prospects; tenants can sign leases electronically. Landlords can also design property websites to display rent-related information and share vacant property listings on Facebook and Twitter. A built-in performance dashboard keeps track of monthly rent, lease expiry dates, upcoming vacancies and portfolio health.Pendo also has a mobile app dedicated to move-in/out condition inspection. The app allows landlords and property managers to create and sign condition inspection reports on the go.The solution can be purchased on a monthly subscription basis."
Cozy,https://www.softwareadvice.com/au/property/cozy-profile/,https://www.softwareadvice.com/au/property/cozy-profile/,4.37,None,27,https://www.softwareadvice.com/au/property/cozy-profile/reviews/,3,Yes,Yes,Yes,"Cozy is a property management solution designed to help landlords list properties, screen tenants and receive rental payments on a unified dashboard. The application enables proprietors to track expenses per property, assign them into tax categories and attach electronic receipts with corresponding expenses.The maintenance module allows agents to notify tenants about the status of repairs and contractor visits and tenants can request repairs by providing detailed information, photos and videos. Cozy helps property owners generate and upload custom listings with property images, lease terms, amenities, and pet policies on real estate websites including Doorsteps.com and Realtor.com. Additionally, landlords can invite applicants and review employment status, income and rental history.Property owners can utilize the rent estimate tool to define rent rates based on comparison with nearby properties, price benchmarks and area trends. Pricing is available on monthly subscriptions and support is extended via documentation."
Shiftsuite,https://www.softwareadvice.com/au/property/shiftsuite-profile/,https://www.softwareadvice.com/au/property/shiftsuite-profile/,4.07,None,27,https://www.softwareadvice.com/au/property/shiftsuite-profile/reviews/,1,Yes,Yes,Yes,"Shiftsuite is a cloud-based property management system designed for managers of condominiums. Key features include owner administration, document management, reporting, and activity reporting.The solution offers document management feature that helps property managers to create and maintain lease, contracts, notices and other property records.Shiftsuite’s owner administration feature provides a security framework that allows property owners to provide role-based access and control.The solution provides activity tracking feature that helps property owners to monitor user activities on a real-time basis. The solution also offers accounting feature which includes ledgers for owners for payments or expenditures with the date, description, amount as well as a general journal. It also provides a self-service portal in which users are provided with real-time accounting information that can be shared and published on condo community websites."
